filename,label,label_idx
triangle_0000.png,triangle,2
circle_0001.png,circle,0
square_0002.png,square,1
square_0003.png,square,1
triangle_0004.png,triangle,2
triangle_0005.png,triangle,2
square_0006.png,square,1
square_0007.png,square,1
triangle_0008.png,triangle,2
triangle_0009.png,triangle,2
square_0010.png,square,1
star_0011.png,star,3
circle_0012.png,circle,0
star_0013.png,star,3
star_0014.png,star,3
star_0015.png,star,3
circle_0016.png,circle,0
triangle_0017.png,triangle,2
circle_0018.png,circle,0
circle_0019.png,circle,0
triangle_0020.png,triangle,2
square_0021.png,square,1
triangle_0022.png,triangle,2
circle_0023.png,circle,0
circle_0024.png,circle,0
circle_0025.png,circle,0
square_0026.png,square,1
circle_0027.png,circle,0
star_0028.png,star,3
star_0029.png,star,3
triangle_0030.png,triangle,2
triangle_0031.png,triangle,2
triangle_0032.png,triangle,2
triangle_0033.png,triangle,2
circle_0034.png,circle,0
circle_0035.png,circle,0
star_0036.png,star,3
triangle_0037.png,triangle,2
circle_0038.png,circle,0
triangle_0039.png,triangle,2
star_0040.png,star,3
triangle_0041.png,triangle,2
triangle_0042.png,triangle,2
star_0043.png,star,3
circle_0044.png,circle,0
star_0045.png,star,3
triangle_0046.png,triangle,2
circle_0047.png,circle,0
star_0048.png,star,3
square_0049.png,square,1
square_0050.png,square,1
circle_0051.png,circle,0
star_0052.png,star,3
circle_0053.png,circle,0
triangle_0054.png,triangle,2
square_0055.png,square,1
triangle_0056.png,triangle,2
circle_0057.png,circle,0
star_0058.png,star,3
star_0059.png,star,3
circle_0060.png,circle,0
star_0061.png,star,3
circle_0062.png,circle,0
circle_0063.png,circle,0
square_0064.png,square,1
circle_0065.png,circle,0
star_0066.png,star,3
square_0067.png,square,1
square_0068.png,square,1
square_0069.png,square,1
triangle_0070.png,triangle,2
star_0071.png,star,3
circle_0072.png,circle,0
circle_0073.png,circle,0
star_0074.png,star,3
star_0075.png,star,3
triangle_0076.png,triangle,2
circle_0077.png,circle,0
square_0078.png,square,1
circle_0079.png,circle,0
square_0080.png,square,1
square_0081.png,square,1
star_0082.png,star,3
triangle_0083.png,triangle,2
triangle_0084.png,triangle,2
circle_0085.png,circle,0
square_0086.png,square,1
triangle_0087.png,triangle,2
circle_0088.png,circle,0
triangle_0089.png,triangle,2
triangle_0090.png,triangle,2
triangle_0091.png,triangle,2
star_0092.png,star,3
square_0093.png,square,1
square_0094.png,square,1
circle_0095.png,circle,0
circle_0096.png,circle,0
star_0097.png,star,3
star_0098.png,star,3
square_0099.png,square,1
square_0100.png,square,1
square_0101.png,square,1
star_0102.png,star,3
triangle_0103.png,triangle,2
