filename,label_idx,caption
sample_0000.png,1,"A large, pale square shape centered on a dark background."
sample_0001.png,1,"A compact, faint square shape centered on a dark background."
sample_0002.png,3,"A large, pale star shape centered on a dark background."
sample_0003.png,0,"A large, faint circle shape centered on a dark background."
sample_0004.png,2,"A large, pale triangle shape centered on a dark background."
sample_0005.png,2,"A compact, white triangle shape centered on a dark background."
sample_0006.png,0,"A small, pale circle shape centered on a dark background."
sample_0007.png,2,"A compact, white triangle shape centered on a dark background."
sample_0008.png,0,"A compact, faint circle shape centered on a dark background."
sample_0009.png,3,"A small, white star shape centered on a dark background."
sample_0010.png,2,"A large, white triangle shape centered on a dark background."
sample_0011.png,0,"A compact, pale circle shape centered on a dark background."
sample_0012.png,2,"A small, bright triangle shape centered on a dark background."
sample_0013.png,2,"A small, bright triangle shape centered on a dark background."
sample_0014.png,2,"A medium-sized, bright triangle shape centered on a dark background."
sample_0015.png,1,"A small, bright square shape centered on a dark background."
sample_0016.png,1,"A small, white square shape centered on a dark background."
sample_0017.png,3,"A large, pale star shape centered on a dark background."
sample_0018.png,3,"A medium-sized, white star shape centered on a dark background."
sample_0019.png,1,"A compact, white square shape centered on a dark background."
sample_0020.png,1,"A medium-sized, faint square shape centered on a dark background."
sample_0021.png,0,"A large, faint circle shape centered on a dark background."
sample_0022.png,1,"A medium-sized, bright square shape centered on a dark background."
sample_0023.png,3,"A large, faint star shape centered on a dark background."
sample_0024.png,3,"A small, pale star shape centered on a dark background."
sample_0025.png,1,"A small, bright square shape centered on a dark background."
sample_0026.png,3,"A medium-sized, pale star shape centered on a dark background."
sample_0027.png,1,"A small, white square shape centered on a dark background."
sample_0028.png,3,"A small, white star shape centered on a dark background."
sample_0029.png,1,"A small, pale square shape centered on a dark background."
sample_0030.png,0,"A compact, pale circle shape centered on a dark background."
sample_0031.png,1,"A compact, pale square shape centered on a dark background."
sample_0032.png,2,"A compact, pale triangle shape centered on a dark background."
sample_0033.png,2,"A small, faint triangle shape centered on a dark background."
sample_0034.png,2,"A compact, faint triangle shape centered on a dark background."
sample_0035.png,1,"A small, white square shape centered on a dark background."
sample_0036.png,3,"A compact, bright star shape centered on a dark background."
sample_0037.png,2,"A medium-sized, pale triangle shape centered on a dark background."
sample_0038.png,3,"A compact, pale star shape centered on a dark background."
sample_0039.png,0,"A medium-sized, bright circle shape centered on a dark background."
sample_0040.png,1,"A medium-sized, white square shape centered on a dark background."
sample_0041.png,0,"A small, white circle shape centered on a dark background."
sample_0042.png,1,"A small, pale square shape centered on a dark background."
sample_0043.png,1,"A compact, faint square shape centered on a dark background."
sample_0044.png,0,"A medium-sized, faint circle shape centered on a dark background."
sample_0045.png,2,"A medium-sized, faint triangle shape centered on a dark background."
sample_0046.png,2,"A compact, bright triangle shape centered on a dark background."
sample_0047.png,2,"A large, faint triangle shape centered on a dark background."
sample_0048.png,0,"A medium-sized, pale circle shape centered on a dark background."
sample_0049.png,1,"A medium-sized, white square shape centered on a dark background."
sample_0050.png,3,"A large, white star shape centered on a dark background."
sample_0051.png,1,"A compact, pale square shape centered on a dark background."
sample_0052.png,0,"A small, pale circle shape centered on a dark background."
sample_0053.png,2,"A small, pale triangle shape centered on a dark background."
sample_0054.png,0,"A small, pale circle shape centered on a dark background."
sample_0055.png,1,"A small, faint square shape centered on a dark background."
sample_0056.png,2,"A large, pale triangle shape centered on a dark background."
sample_0057.png,2,"A medium-sized, bright triangle shape centered on a dark background."
sample_0058.png,0,"A medium-sized, bright circle shape centered on a dark background."
sample_0059.png,2,"A large, white triangle shape centered on a dark background."
sample_0060.png,0,"A compact, white circle shape centered on a dark background."
sample_0061.png,0,"A medium-sized, bright circle shape centered on a dark background."
sample_0062.png,0,"A large, white circle shape centered on a dark background."
sample_0063.png,2,"A large, bright triangle shape centered on a dark background."
sample_0064.png,3,"A compact, bright star shape centered on a dark background."
sample_0065.png,0,"A large, white circle shape centered on a dark background."
sample_0066.png,3,"A large, white star shape centered on a dark background."
sample_0067.png,1,"A medium-sized, bright square shape centered on a dark background."
sample_0068.png,3,"A medium-sized, bright star shape centered on a dark background."
sample_0069.png,0,"A large, faint circle shape centered on a dark background."
sample_0070.png,0,"A small, white circle shape centered on a dark background."
sample_0071.png,3,"A large, white star shape centered on a dark background."
sample_0072.png,2,"A large, pale triangle shape centered on a dark background."
sample_0073.png,3,"A medium-sized, faint star shape centered on a dark background."
sample_0074.png,2,"A small, white triangle shape centered on a dark background."
sample_0075.png,3,"A medium-sized, white star shape centered on a dark background."
sample_0076.png,1,"A medium-sized, faint square shape centered on a dark background."
sample_0077.png,2,"A small, bright triangle shape centered on a dark background."
sample_0078.png,3,"A small, bright star shape centered on a dark background."
sample_0079.png,3,"A medium-sized, white star shape centered on a dark background."
sample_0080.png,2,"A compact, pale triangle shape centered on a dark background."
sample_0081.png,1,"A medium-sized, pale square shape centered on a dark background."
sample_0082.png,1,"A small, pale square shape centered on a dark background."
sample_0083.png,3,"A compact, pale star shape centered on a dark background."
sample_0084.png,3,"A medium-sized, white star shape centered on a dark background."
sample_0085.png,0,"A small, faint circle shape centered on a dark background."
sample_0086.png,2,"A medium-sized, faint triangle shape centered on a dark background."
sample_0087.png,3,"A large, pale star shape centered on a dark background."
sample_0088.png,0,"A small, pale circle shape centered on a dark background."
sample_0089.png,2,"A large, bright triangle shape centered on a dark background."
sample_0090.png,3,"A large, bright star shape centered on a dark background."
sample_0091.png,0,"A large, white circle shape centered on a dark background."
sample_0092.png,0,"A large, pale circle shape centered on a dark background."
sample_0093.png,1,"A small, white square shape centered on a dark background."
sample_0094.png,1,"A large, bright square shape centered on a dark background."
sample_0095.png,1,"A small, faint square shape centered on a dark background."
sample_0096.png,3,"A large, white star shape centered on a dark background."
sample_0097.png,0,"A small, pale circle shape centered on a dark background."
sample_0098.png,0,"A compact, white circle shape centered on a dark background."
sample_0099.png,3,"A large, white star shape centered on a dark background."
